"period","model","type","rmse","mape","auc"
"train","ARIMA","nowcast",0.12,0.13,0.95
"train","RIDE","nowcast",0.2,0.23,0.94
"train","BP","nowcast",0.32,0.25,0.78
"test","ARIMA","nowcast",0.05,0.04,0.89
"test","RIDE","nowcast",0.07,0.05,0.85
"test","BP","nowcast",0.21,0.16,0.61
"train","ARIMA","forecast",0.14,0.15,0.91
"train","RIDE","forecast",0.23,0.22,0.93
"train","BP","forecast",0.34,0.27,0.72
"test","ARIMA","forecast",0.07,0.06,0.78
"test","RIDE","forecast",0.09,0.08,0.76
"test","BP","forecast",0.19,0.15,0.58
"train","ARIMA","Overall",0.13,0.15,0.91
"train","RIDE","Overall",0.23,0.22,0.93
"train","BP","Overall",0.34,0.26,0.73
"test","ARIMA","Overall",0.06,0.05,0.85
"test","RIDE","Overall",0.08,0.06,0.82
"test","BP","Overall",0.2,0.16,0.6
